,TOP_CHARGE,count,top_charge_level,gun_license,gun_case
258,AGG UNLAWFUL POSSESSION OF A WEAPON,1,,,
259,AGG UNLAWFUL POSSESSION OF A WEAPON/PERSON/<21,1,,,
260,AGG UNLAWFUL USE OF A WEAPON UNDER 21,1,,,
261,AGG UNLAWFUL USE OF A WEAPON/LOADED,1,,,
262,AGG UNLAWFUL USE OF WEAPON / VEH,1,,,
263,AGG UNLAWFUL USE OF WEAPON LOADED FIREARM,1,,,
264,AGG UNLAWFUL USE OF WEAPON/ VEH,1,,,
265,AGG UNLAWFUL USE WEAPON,1,,,
266,AGG UNLEFL USE WEAPON/VEH/2ND,1,,,
267,AGG UNLWFL USE WEAPON/PERS,1,,,
268,AGG UPW-REVOKED CCL,1,,,
269,AGG UPW/NO FOID/CCL,1,,,
270,AGG UPW/VEH/BODY ARMOR/NO FOID,1,,,
271,AGG UPW/VEH/LOADED/NO FCCA,1,,,
272,AGG USE OF WEAPON - COURTHOUSE,1,,,
273,AGG UUW - BY FELON,1,,,
274,AGG UUW - WEAPON - FELON POSS/USE,1,,,
275,AGG UUW NO FOID/NO CCL,1,,,
276,AGG UUW POSSESSFIREARM W/O VALID FOID/ELIG,1,,,
277,AGG UUW W/OUT FOID CARD,1,,,
278,AGG UUW/LOADED NO FCCA FOID,1,,,
279,AGG UUW/LOADED-UNDER 21 YEARS OF AGE,1,,,
280,AGG UUW/LOADED/NO FCCA/FOID/2+,1,,,
281,AGG UUW/LOADED/NO FCCA/FOID/CCL,1,,,
282,AGG UUW/PERS/CM VIOLATION/2+,1,,,
283,AGG UUW/PERS/LOAD/NO FCCA,1,,,
284,AGG UUW/PERSON/CM VIOLATION,1,,,
285,AGG UUW/PERSON/LOADED FIREARM BY A FELON,1,,,
286,AGG UUW/PERSON/LOADED FIREARM/NO CCL/FCCA,1,,,
287,AGG UUW/PERSON/NO FOID AND NO CCL,1,,,
288,AGG UUW/PERSON/ORDER PROTECT,1,,,
289,AGG UUW/PERSON/USE OF A WEAPON- ON PERSON,1,,,
290,AGG UUW/PERSON/VEHICLE/PREV CONVICTION,1,,,
291,AGG UUW/PERSON<21,1,,,
292,AGG UUW/POSS OF A WEAPON,1,,,
293,AGG UUW/UNLOADED/NO FOID,1,,,
294,AGG UUW/VEH/2ND,1,,,
295,AGG UUW/VEH/DELINQUENT MINOR,1,,,
296,AGG UUW/VEH/LOADED/NO FCCA,1,,,
297,AGG UUW/VEHICLE/<21/2+,1,,,
298,AGG UUW/VEHICLE/LOADED/NO FCCA - TZ061685,1,,,
299,AGG UUW/VEHICLE/ORDER PROTECT,1,,,
300,AGG UUW/VEHICLE/ORDER PROTECTI,1,,,
301,AGG UVW,1,,,
302,AGG. UNLAWFUL USE OF WEAPON,1,,,
303,AGG.UUW,1,,,
304,AGG.UUW - WEAPON - RIFLE<16IN - SH,1,,,
305,AGG/ UUW,1,,,
306,AGG/ASSAULT/USE OF DEADLY WEAPON,1,,,
307,AGG/UNLAWFUL USE OF WEAPON/ VEH,1,,,
308,AGG/UPW/PERS/LOADED/FCCA/FOID,1,,,
309,AGG/UPW/PERSON/LOADED/NO FCCA,1,,,
310,AGGERVATED UNLAWFUL USE OF WEAPON,1,,,
311,AGGGRAVATED UNLAWFUL POSSESSION OF A WEAPON,1,,,
312,AGGRAVATED ASSAULT,1,,,
313,AGGRAVATED ASSAULT - PEACE OFFICER,1,,,
314,AGGRAVATED BATTERY/ USE DEADLY WEAPON,1,,,
315,AGGRAVATED BATTERY/MERCHANT,1,,,
316,AGGRAVATED CRUELTY TO ANIMALS,1,,,
317,AGGRAVATED DISCHARGE/FIREARM,1,,,
318,AGGRAVATED DOMESTIC BATTERY,1,,,
319,AGGRAVATED ONLAWFUL USE OF WEAPON,1,,,
320,AGGRAVATED UNLAWFUL  USE OF WEAPON,1,,,
321,AGGRAVATED UNLAWFUL POSS OF A WEAPON/ NO CONCEAL CARRY LICENSE,1,,,
322,AGGRAVATED UNLAWFUL POSSESION OF WEAPONS,1,,,
323,AGGRAVATED UNLAWFUL POSSESSION OF A FIREARM 2+,1,,,
324,AGGRAVATED UNLAWFUL POSSESSION OF A WEAPON PERSON <21,1,,,
325,AGGRAVATED UNLAWFUL POSSESSION OF A WEAPON UNDER 21,1,,,
326,AGGRAVATED UNLAWFUL USE OF A FIREARM,1,,,
327,AGGRAVATED UNLAWFUL USE OF A WEAPON -FELON,1,,,
328,AGGRAVATED UNLAWFUL USE OF A WEAPON- POSSESS MACHINE,1,,,
329,AGGRAVATED UNLAWFUL USE OF A WEAPON-NO CONCEAL CARRY LICENSE,1,,,
330,AGGRAVATED UNLAWFUL USE OF A WEAPON/ UNDER 21,1,,,
